整数型|整数型|整数型|整数型|整数型|整数型|整数型|不可用|整数型|字符型|整数型|整数型|整数型|整数型|整数型|整数型|整数型|整数型|整数型|整数型|整数型|整数型|字符型|字符型|整数型|字符型|不可用|整数型|字符型|整数型|整数型|不可用|不可用|不可用|整数型|整数型|整数型|字符型|整数型|字符型|整数型|字符型|整数型|整数型|不可用|整数型|整数型|整数型|整数型|整数型|整数型|整数型|字符型|整数型|整数型|字符型|不可用|字符型
25281|0|1|0|0|1|700| |1|armour|0|0|1|1|1|0|1|0|1|0|0|0|疾行靴Max|<color=ff6600>唯一被动：移动过程中受到伤害降低10%。|1|\UI\Icon\equip\jixingxue.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0| |0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25282|0|1|0|0|1|735| |1|armour|0|0|1|1|1|0|1|0|1|0|0|0|涌动布鞋Max|<color=ff6600>唯一被动-涌动Ⅱ：提高25%技能刷新速率和30生命恢复/5秒，受攻击会失效5秒。|1|\UI\Icon\equip\yongdongbuxie.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0| |0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25283|0|1|0|0|1|0| |1|armour|0|0|1|1|1|0|1|0|1|0|0|0|神威车轮|<color=9190b3>唯一主动：伊斯坎达尔召唤出神威车轮和飞蹄雷牛向指定方向冲锋，冲锋过程中碰撞到敌方非英雄单位则会造成<color=e3400d>(+{~30*01.00})<color=9190b3>点物理伤害和击飞，若碰撞到障碍物或敌方英雄则会结束冲锋并对周围单位造成<color=e3400d>(+{~30*01.00})<color=9190b3>点物理伤害，最多冲锋10秒。(冷却时间：80秒)|1|\UI\Icon\equip\shenweichelun.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0|1.000000|0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25284|0|1|0|0|1|0| |1|armour|0|0|1|1|1|0|1|0|1|0|0|0|『神威车轮A』|<color=9190b3>唯一主动：伊斯坎达尔召唤出神威车轮和飞蹄雷牛向指定方向冲锋，冲锋过程中碰撞到敌方非英雄单位则会造成<color=e3400d>(+{~30*01.00})<color=9190b3>点物理伤害和击飞，若碰撞到障碍物或敌方英雄则会结束冲锋并对周围单位造成<color=e3400d>(+{~30*01.00})<color=9190b3>点物理伤害，最多冲锋10秒。(冷却时间：80秒)|1|\UI\Icon\equip\shenweicheluna.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0|1.000000|0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25285|0|1|0|0|1|0| |1|armour|0|0|1|1|1|0|1|0|1|0|0|0|『神威车轮P』|<color=9190b3>唯一主动：伊斯坎达尔召唤出神威车轮和飞蹄雷牛向指定方向冲锋，冲锋过程中碰撞到敌方非英雄单位则会造成<color=e3400d>(+{~30*01.00})<color=9190b3>点物理伤害和击飞，若碰撞到障碍物或敌方英雄则会结束冲锋并对周围单位造成<color=e3400d>(+{~30*01.00})<color=9190b3>点物理伤害，最多冲锋10秒。(冷却时间：80秒)|1|\UI\Icon\equip\shenweichelunp.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0|1.000000|0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25286|0|1|0|0|1|0| |1|armour|0|0|1|1|1|0|1|0|1|0|0|0|高文机甲|<color=ff6600>唯一主动：\n<color=ff6600>- 当场上不存在高文机甲时，在指定地点召唤高文机甲。(冷却时间3秒）\n<color=ff6600>- 当场上存在高文机甲且不处于驾驶状态时，引爆已存在的高文机甲。(冷却时间60秒。)\n<color=ff6600>高文机甲：\n<color=9190b3>- 召唤机甲时，会摧毁场上已存在的高文机甲。召唤机甲后，可使用被动技能驾驶或退出驾驶高文机甲。\n<color=9190b3>- 机甲拥有<color=e50000>{~08*00.75}<color=9190b3>生命值、<color=fffc00>{~42*01.00}<color=9190b3>护甲和<color=7D1ED7>{~44*01.00}<color=9190b3>法术抗性。\n<color=9190b3>- 驾驶机甲时技能替换为“机甲”技能，机甲的当前生命值会转化为护盾。护盾值为0时机甲被破坏并强制退出驾驶状态。\n<color=9190b3>- 主动退出驾驶状态时，会将剩余护盾值转化为高文机甲的生命值。|1|\UI\icon\skill\icon_5212..dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0|1.000000|0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25287|0|1|0|0|1|560| |1|armour|0|0|1|1|1|0|1|0|1|0|0|0|体验服新道具占用| |1| | |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0| |1|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25288|0|1|0|0|1|560| |1|armour|0|0|1|1|1|0|1|0|1|0|0|0|最后之盾|<color=ff6600>唯一被动：装备强化到15级敌方英雄的攻击无法穿透你最后的<color=FFbebebe>5%的护甲和魔抗。\n<color=ff6600>【永恒战场专用】<color=3399ff>通过装备升级强化可以大幅提升装备的能力！\n\n|1|\UI\Icon\equip\21047.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0| |1|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25289|0|1|0|0|1|648| |1|armour|0|0|1|1|1|0|1|0|1|0|0|0|疾风车轮A限量版|<color=ff6600>唯一被动：每次普通攻击可以提高自身5点护甲穿透，持续2秒,最多叠加5层。\n<color=9190b3>唯一主动：伊斯坎达尔召唤出神威车轮和飞蹄雷牛向指定方向冲锋，冲锋过程中碰撞到敌方非英雄单位则会造成<color=e3400d>(+{~30*01.00})<color=9190b3>点物理伤害和击飞，若碰撞到障碍物或敌方英雄则会结束冲锋并对周围单位造成<color=e3400d>(+{~30*01.00})<color=9190b3>点物理伤害，最多冲锋10秒。(冷却时间：80秒)|1|\UI\Icon\equip\shenweicheluna.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0| |0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25290|0|1|0|0|1|595| |1|armour|0|0|1|1|1|0|1|0|1|0|0|0|武术车轮A限量版|<color=ff6600>唯一被动：降低受到非建筑普通攻击的伤害10%。\n<color=ff6600>唯一被动：周围每存在一个敌方英雄,提高自身4%护甲。\n<color=9190b3>唯一主动：伊斯坎达尔召唤出神威车轮和飞蹄雷牛向指定方向冲锋，冲锋过程中碰撞到敌方非英雄单位则会造成<color=e3400d>(+{~30*01.00})<color=9190b3>点物理伤害和击飞，若碰撞到障碍物或敌方英雄则会结束冲锋并对周围单位造成<color=e3400d>(+{~30*01.00})<color=9190b3>点物理伤害，最多冲锋10秒。(冷却时间：80秒)|1|\UI\Icon\equip\shenweicheluna.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0| |0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25291|0|1|0|0|1|840| |1|armour|0|0|1|1|1|0|1|0|1|0|0|0|黑曜车轮A限量版|<color=ff6600>唯一被动：当生命值低于40%时,受到法术伤害降低15%。\n<color=9190b3>唯一主动：伊斯坎达尔召唤出神威车轮和飞蹄雷牛向指定方向冲锋，冲锋过程中碰撞到敌方非英雄单位则会造成<color=e3400d>(+{~30*01.00})<color=9190b3>点物理伤害和击飞，若碰撞到障碍物或敌方英雄则会结束冲锋并对周围单位造成<color=e3400d>(+{~30*01.00})<color=9190b3>点物理伤害，最多冲锋10秒。(冷却时间：80秒)|1|\UI\Icon\equip\shenweicheluna.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0| |0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25292|0|1|0|0|1|700| |1|armour|0|0|1|1|1|0|1|0|1|0|0|0|疾行车轮A限量版|<color=ff6600>唯一被动：移动过程中受到伤害降低10%。\n<color=9190b3>唯一主动：伊斯坎达尔召唤出神威车轮和飞蹄雷牛向指定方向冲锋，冲锋过程中碰撞到敌方非英雄单位则会造成<color=e3400d>(+{~30*01.00})<color=9190b3>点物理伤害和击飞，若碰撞到障碍物或敌方英雄则会结束冲锋并对周围单位造成<color=e3400d>(+{~30*01.00})<color=9190b3>点物理伤害，最多冲锋10秒。(冷却时间：80秒)|1|\UI\Icon\equip\shenweicheluna.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0| |0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25293|0|1|0|0|1|735| |1|armour|0|0|1|1|1|0|1|0|1|0|0|0|涌动车轮A限量版|<color=ff6600>唯一被动-涌动Ⅱ：提高25%技能刷新速率和30生命恢复/5秒，受攻击会失效5秒。\n<color=9190b3>唯一主动：伊斯坎达尔召唤出神威车轮和飞蹄雷牛向指定方向冲锋，冲锋过程中碰撞到敌方非英雄单位则会造成<color=e3400d>(+{~30*01.00})<color=9190b3>点物理伤害和击飞，若碰撞到障碍物或敌方英雄则会结束冲锋并对周围单位造成<color=e3400d>(+{~30*01.00})<color=9190b3>点物理伤害，最多冲锋10秒。(冷却时间：80秒)|1|\UI\Icon\equip\shenweicheluna.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0| |0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25294|0|1|0|0|1|648| |1|armour|0|0|1|1|1|0|1|0|1|0|0|0|疾风车轮P限量版|<color=ff6600>唯一被动：每次普通攻击可以提高自身5点护甲穿透，持续2秒,最多叠加5层。\n<color=9190b3>唯一主动：伊斯坎达尔召唤出神威车轮和飞蹄雷牛向指定方向冲锋，冲锋过程中碰撞到敌方非英雄单位则会造成<color=e3400d>(+{~30*01.00})<color=9190b3>点物理伤害和击飞，若碰撞到障碍物或敌方英雄则会结束冲锋并对周围单位造成<color=e3400d>(+{~30*01.00})<color=9190b3>点物理伤害，最多冲锋10秒。(冷却时间：80秒)|1|\UI\Icon\equip\shenweichelunp.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0| |0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25295|0|1|0|0|1|595| |1|armour|0|0|1|1|1|0|1|0|1|0|0|0|武术车轮P限量版|<color=ff6600>唯一被动：降低受到非建筑普通攻击的伤害10%。\n<color=ff6600>唯一被动：周围每存在一个敌方英雄,提高自身4%护甲。\n<color=9190b3>唯一主动：伊斯坎达尔召唤出神威车轮和飞蹄雷牛向指定方向冲锋，冲锋过程中碰撞到敌方非英雄单位则会造成<color=e3400d>(+{~30*01.00})<color=9190b3>点物理伤害和击飞，若碰撞到障碍物或敌方英雄则会结束冲锋并对周围单位造成<color=e3400d>(+{~30*01.00})<color=9190b3>点物理伤害，最多冲锋10秒。(冷却时间：80秒)|1|\UI\Icon\equip\shenweichelunp.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0| |0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25296|0|1|0|0|1|840| |1|armour|0|0|1|1|1|0|1|0|1|0|0|0|黑曜车轮P限量版|<color=ff6600>唯一被动：当生命值低于40%时,受到法术伤害降低15%。\n<color=9190b3>唯一主动：伊斯坎达尔召唤出神威车轮和飞蹄雷牛向指定方向冲锋，冲锋过程中碰撞到敌方非英雄单位则会造成<color=e3400d>(+{~30*01.00})<color=9190b3>点物理伤害和击飞，若碰撞到障碍物或敌方英雄则会结束冲锋并对周围单位造成<color=e3400d>(+{~30*01.00})<color=9190b3>点物理伤害，最多冲锋10秒。(冷却时间：80秒)|1|\UI\Icon\equip\shenweichelunp.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0| |0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25297|0|1|0|0|1|700| |1|armour|0|0|1|1|1|0|1|0|1|0|0|0|疾行车轮P限量版|<color=ff6600>唯一被动：移动过程中受到伤害降低10%。\n<color=9190b3>唯一主动：伊斯坎达尔召唤出神威车轮和飞蹄雷牛向指定方向冲锋，冲锋过程中碰撞到敌方非英雄单位则会造成<color=e3400d>(+{~30*01.00})<color=9190b3>点物理伤害和击飞，若碰撞到障碍物或敌方英雄则会结束冲锋并对周围单位造成<color=e3400d>(+{~30*01.00})<color=9190b3>点物理伤害，最多冲锋10秒。(冷却时间：80秒)|1|\UI\Icon\equip\shenweichelunp.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0| |0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25298|0|1|0|0|1|735| |1|armour|0|0|1|1|1|0|1|0|1|0|0|0|涌动车轮P限量版|<color=ff6600>唯一被动-涌动Ⅱ：提高25%技能刷新速率和30生命恢复/5秒，受攻击会失效5秒。\n<color=9190b3>唯一主动：伊斯坎达尔召唤出神威车轮和飞蹄雷牛向指定方向冲锋，冲锋过程中碰撞到敌方非英雄单位则会造成<color=e3400d>(+{~30*01.00})<color=9190b3>点物理伤害和击飞，若碰撞到障碍物或敌方英雄则会结束冲锋并对周围单位造成<color=e3400d>(+{~30*01.00})<color=9190b3>点物理伤害，最多冲锋10秒。(冷却时间：80秒)|1|\UI\Icon\equip\shenweichelunp.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0| |0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25299|0|1|0|0|1|0| |1|armour|0|0|1|1|1|0|1|0|1|0|0|0|赤炎之枪|<color=ff6600>赤炎之枪：从十年后手提包中找到的匣子中的武器，可按需升级不同方向。\n<color=9190b3>怒涛之岚：可将速爆炸弹升级为怒涛速爆炸弹，造成伤害提高10%，击退自身距离提高为400，可继续升级为怒涛之岚EX。\n<color=9190b3>赤炎之雷：可将埋伏炸弹升级为赤炎埋伏炸弹，施法距离扩大50%，冷却时间缩短且拥有6点血量，可继续升级为赤炎之雷EX。\n<color=9190b3>赤炎之箭：可将火箭炸弹升级为赤炎火箭炸弹，提升25%飞行距离并改为对路径上所有敌人造成伤害，可继续升级为赤炎之箭EX。|1|\UI\Icon\equip\25299.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0|1.000000|0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25300|0|1|0|0|1|0| |1|armour|0|0|1|1|1|0|1|0|1|0|0|0|怒涛之岚|<color=ff6600>怒涛之岚：可将速爆炸弹升级为怒涛速爆炸弹，造成伤害提高10%，击退自身距离提高为400，可继续升级为怒涛之岚EX。<color=ff6600>唯一被动：增加10%冷却缩减。\n<color=9190b3>怒涛之岚EX：将怒涛速爆炸弹升级为怒涛速爆炸弹EX，造成伤害再提高15%，爆炸范围扩大10%，击退自身距离提高为500。<color=9190b3>唯一被动：增加10%冷却缩减。\n<color=9190b3>唯一被动：你的伤害技能命中首名敌人时，会召唤最多4道落雷攻击周围的敌人，造成125+15%法术强度（<color=89b388>{~31*00.15}<color=9190b3>）魔法伤害。（冷却时间8秒）|1|\UI\Icon\equip\25300.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0|1.000000|0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25301|0|1|0|0|1|0| |1|armour|0|0|1|1|1|0|1|0|1|0|0|0|怒涛之岚EX|<color=ff6600>怒涛之岚EX：造成的伤害再提高15%，爆炸范围扩大10%，击退自身距离提高为500。<color=ff6600>唯一被动：增加10%冷却缩减。\n<color=ff6600>唯一被动：你的伤害技能命中首名敌人时，会召唤最多4道落雷攻击周围的敌人，造成125+15%法术强度（<color=89b388>{~31*00.15}<color=ff6600>）魔法伤害。（冷却时间8秒）|1|\UI\Icon\equip\25301.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0|1.000000|0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25302|0|1|0|0|1|0| |1|armour|0|0|1|1|1|0|1|0|1|0|0|0|赤炎之雷|<color=ff6600>赤炎之雷：可将埋伏炸弹升级为赤炎埋伏炸弹，施法距离扩大50%，冷却时间缩短且拥有6点血量，可继续升级为赤炎之雷EX。<color=ff6600>唯一被动：增加10%冷却缩减。\n<color=9190b3>赤炎之雷EX：将赤炎埋伏炸弹升级为赤炎埋伏炸弹EX，施法距离再扩大50%，同时减速时间延长1秒，持续2分钟。<color=9190b3>唯一被动：增加10%冷却缩减。\n<color=9190b3>唯一被动：你的伤害技能命中首名敌人时，会召唤最多4道落雷攻击周围的敌人，造成125+15%法术强度（<color=89b388>{~31*00.15}<color=9190b3>）魔法伤害。（冷却时间8秒）|1|\UI\Icon\equip\25302.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0|1.000000|0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25303|0|1|0|0|1|0| |1|armour|0|0|1|1|1|0|1|0|1|0|0|0|赤炎之雷EX|<color=ff6600>赤炎之雷EX：施法距离再扩大50%，同时减速时间延长1秒，持续2分钟。<color=ff6600>唯一被动：增加10%冷却缩减。\n<color=ff6600>唯一被动：你的伤害技能命中首名敌人时，会召唤最多4道落雷攻击周围的敌人，造成125+15%法术强度（<color=89b388>{~31*00.15}<color=ff6600>）魔法伤害。（冷却时间8秒）|1|\UI\Icon\equip\25303.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0|1.000000|0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25304|0|1|0|0|1|0| |1|armour|0|0|1|1|1|0|1|0|1|0|0|0|赤炎之箭|<color=ff6600>赤炎之箭：可将火箭炸弹升级为赤炎火箭炸弹，提升25%飞行距离并改为对路径上所有敌人造成伤害，后续目标受到伤害逐个衰减，可继续升级为赤炎之箭EX。<color=ff6600>唯一被动：增加10%冷却缩减。\n<color=9190b3>赤炎之箭EX：将赤炎火箭炸弹升级为赤炎火箭炸弹EX，再提升25%飞行距离，并晕眩敌方0.75s。<color=9190b3>唯一被动：增加10%冷却缩减。\n<color=9190b3>唯一被动：你的伤害技能命中首名敌人时，会召唤最多4道落雷攻击周围的敌人，造成125+15%法术强度（<color=89b388>{~31*00.15}<color=9190b3>）魔法伤害。（冷却时间8秒）|1|\UI\Icon\equip\25304.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0|1.000000|0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25305|0|1|0|0|1|0| |1|armour|0|0|1|1|1|0|1|0|1|0|0|0|赤炎之箭EX|<color=ff6600>赤炎之箭EX：飞行距离再提升25%，并晕眩敌方0.75s。<color=ff6600>唯一被动：增加10%冷却缩减。\n<color=ff6600>唯一被动：你的伤害技能命中首名敌人时，会召唤最多4道落雷攻击周围的敌人，造成125+15%法术强度（<color=89b388>{~31*00.15}<color=ff6600>）魔法伤害。（冷却时间8秒）|1|\UI\Icon\equip\25305.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0|1.000000|0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25311|0|1|0|0|1|0| |1|restore|0|0|1|1|1|0|1|0|1|0|0|0|火牌|\n<color=FFbebebe>法力消耗：<color=9190b3>60-80\n<color=FFbebebe>魔力消耗：<color=9190b3>2\n<color=FFbebebe>冷却时间：<color=9190b3>14-10\n<color=FFbebebe>朝指定方向扔出火球，在到达指定位置后爆炸，对周围的所有敌人造成75~235（+0.75AP）法术伤害，随后在原地扩散为一个持续5秒的火圈，每0.5秒对边缘的敌人造成10~30（+0.2AP）法术伤害|1|\UI\Icon\skill\huopai.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0| |0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25312|0|1|0|0|1|0| |1|restore|0|0|1|1|1|0|1|0|1|0|0|0|雷牌|\n<color=FFbebebe>法力消耗：<color=9190b3>50-90\n<color=FFbebebe>魔力消耗：<color=9190b3>2\n<color=FFbebebe>冷却时间：<color=9190b3>9-9\n<color=FFbebebe>向指定地点引导雷电，短暂延迟后雷电会劈向附近最近的一个敌方单位造成70~230（+0.7AP）法术伤害，随后会自动寻找附近的敌方单位蔓延，造成相同伤害，雷电命中目标会造成0.1秒的短暂眩晕\n<color=9190b3>雷+岚-气象组合：木之本樱的雷牌传递到岚牌附近后会使龙卷风产生雷电，间歇性的对龙卷风范围内落下雷电，造成相当于雷牌一半的伤害|1|\UI\Icon\skill\leipai.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0| |0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25313|0|1|0|0|1|0| |1|restore|0|0|1|1|1|0|1|0|1|0|0|0|泡牌|\n<color=FFbebebe>法力消耗：<color=9190b3>70\n<color=FFbebebe>魔力消耗：<color=9190b3>1\n<color=FFbebebe>冷却时间：<color=9190b3>24-16\n<color=FFbebebe>向自身周围释放大量的泡泡，清除自身与命中友军的负面状态，命中敌人时造成小幅度击退与50~190（+0.4AP）法术伤害|1|\UI\Icon\skill\paopai.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0| |0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25314|0|1|0|0|1|0| |1|restore|0|0|1|1|1|0|1|0|1|0|0|0|砂牌|砂牌|1|\UI\Icon\skill\shapai.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0| |0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25315|0|1|0|0|1|0| |1|restore|0|0|1|1|1|0|1|0|1|0|0|0|剑牌|剑牌|1|\UI\Icon\skill\jianpai.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0| |0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25316|0|1|0|0|1|0| |1|restore|0|0|1|1|1|0|1|0|1|0|0|0|盾牌|盾牌|1|\UI\Icon\skill\dunpai.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0| |0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25317|0|1|0|0|1|0| |1|restore|0|0|1|1|1|0|1|0|1|0|0|0|灯牌|灯牌|1|\UI\Icon\skill\dengpai.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0| |0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25318|0|1|0|0|1|0| |1|restore|0|0|1|1|1|0|1|0|1|0|0|0|移牌|移牌|1|\UI\Icon\skill\yipai.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0| |0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25319|0|1|0|0|1|0| |1|restore|0|0|1|1|1|0|1|0|1|0|0|0|轮牌|轮牌|1|\UI\Icon\skill\lunpai.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0| |0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25320|0|1|0|0|1|0| |1|restore|0|0|1|1|1|0|1|0|1|0|0|0|击牌|击牌|1|\UI\Icon\skill\jipai.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0| |0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25321|0|1|0|0|1|0| |1|restore|0|0|1|1|1|0|1|0|1|0|0|0|甘牌|甘牌|1|\UI\Icon\skill\ganpai.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0| |0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25322|0|1|0|0|1|0| |1|restore|0|0|1|1|1|0|1|0|1|0|0|0|矢牌|矢牌|1|\UI\Icon\skill\shipai.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0| |0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25331|0|1|0|0|1|0| |1|restore|0|0|1|1|1|0|1|0|1|0|0|0|地牌|\n<color=FFbebebe>等级需求：<color=9190b3>6级\n<color=FFbebebe>法力消耗：<color=9190b3>100\n<color=FFbebebe>魔力消耗：<color=9190b3>4\n<color=FFbebebe>冷却时间：<color=9190b3>70\n<color=FFbebebe>指定一大片区域召唤岩石持续10秒，每1.5秒会在敌方英雄脚下生成一个可以击飞的岩石，造成65~205（+0.65AP）法术伤害，范围内敌方非英雄单位也有25%的概率生成岩石|1|\UI\Icon\skill\dipai.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0| |0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25332|0|1|0|0|1|0| |1|restore|0|0|1|1|1|0|1|0|1|0|0|0|雪牌|\n<color=FFbebebe>法力消耗：<color=9190b3>60-80\n<color=FFbebebe>魔力消耗：<color=9190b3>2\n<color=FFbebebe>冷却时间：<color=9190b3>15\n<color=FFbebebe>在指定地点召唤一个持续5秒的冰雪区域，每0.5秒对范围内的敌人造成10~34（+0.2AP）法术伤害，并降低20%的移动速度|1|\UI\Icon\skill\xuepai.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0| |0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
25333|0|1|0|0|1|0| |1|restore|0|0|1|1|1|0|1|0|1|0|0|0|冻牌|冻牌|1|\UI\Icon\skill\dongpai.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0| |0|0.000000|0|3| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
